dataset,method,model,split,run,task_id,config,payload_len,stream_key,meta_source,meta_path,accepted_steps,no_bits_steps,len_mismatch_steps
alfworld,agentmark,deepseek,ID,1,000,L0_exact_probs,8,2025,report_metadata,,2,2,
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,8,2025,report_metadata,,6,4,
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,8,2025,report_metadata,,6,5,
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,8,2025,report_metadata,,16,5,
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,8,2025,report_metadata,,11,4,
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,8,2025,report_metadata,,12,11,
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,8,2025,report_metadata,,5,2,
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,8,2025,report_metadata,,8,3,
alfworld,agentmark,deepseek,ID,1,008,L0_exact_probs,8,2025,report_metadata,,,5,
alfworld,agentmark,deepseek,ID,1,009,L0_exact_probs,8,2025,report_metadata,,4,3,
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,8,2025,report_metadata,,6,4,
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,8,2025,report_metadata,,5,7,
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,8,2025,report_metadata,,6,3,
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,8,2025,report_metadata,,5,3,
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,8,2025,report_metadata,,7,6,
alfworld,agentmark,deepseek,ID,1,015,L0_exact_probs,8,2025,report_metadata,,2,3,
alfworld,agentmark,deepseek,ID,1,016,L0_exact_probs,8,2025,report_metadata,,1,4,
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,8,2025,report_metadata,,10,4,
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,8,2025,report_metadata,,6,7,
alfworld,agentmark,deepseek,ID,1,019,L0_exact_probs,8,2025,report_metadata,,2,4,
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,8,2025,report_metadata,,7,4,
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,8,2025,report_metadata,,7,7,
alfworld,agentmark,deepseek,ID,1,022,L0_exact_probs,8,2025,report_metadata,,3,3,
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,8,2025,report_metadata,,20,10,
alfworld,agentmark,deepseek,ID,1,024,L0_exact_probs,8,2025,report_metadata,,5,6,
alfworld,agentmark,deepseek,ID,1,025,L0_exact_probs,8,2025,report_metadata,,3,3,
alfworld,agentmark,deepseek,ID,1,026,L0_exact_probs,8,2025,report_metadata,,1,3,
alfworld,agentmark,deepseek,ID,1,027,L0_exact_probs,8,2025,report_metadata,,10,5,
alfworld,agentmark,deepseek,ID,1,028,L0_exact_probs,8,2025,report_metadata,,12,1,
